;map.Verse;;X1;X2;X3;X4;X5;X6;X7
33;45008026;And likewise also , the Spirit helps us in our weakness , for we do not know how to pray as one ought , but the Spirit himself intercedes for uswith unexpressed groanings .;-0,111583754;-0,017271707;-0,073324972;0,000745147;-0,047851515;-0,038049677;0,003309789
40;40017012;But I say to you that Elijah has already come , and they did not recognize him , but did with him whatever they wanted . In the same way also the Son of Man is going to suffer at their hands . ”;0,00901041;-0,022936337;0,139023172;0,021034802;-0,063462169;-0,011493816;0,019730292
25;41010019;You know the commandments : ‘ Do not murder , do not commit adultery , do not steal , do not give false testimony , do not defraud , honor your father and mother . ’ ”;-0,087889899;-0,030266678;-0,039908087;0,002473015;0,040800923;0,012787185;-0,004357241
28;43013017;If you understand these things , you are blessed if you do them .;0,015301648;-0,030763875;-0,032328633;0,015323514;0,011082206;0,000129455;-0,04027371
42;40007020;As a result , you will recognize them by their fruits .;-0,005082676;-0,031079632;0,111857549;0,000483645;0,003901725;0,00929751;-0,014608734
11;42023034;〚 But Jesus said , “ Father , forgive them , for they do not know what they are doing . ” 〛 And they cast lots to divide his clothes .;-0,04662313;-0,032533936;-0,066332051;-0,006873013;-0,062427483;-0,033540718;0,007046031
21;44007018;until another king arose over Egypt who did not know Joseph .;-0,076132387;-0,03382411;0,032985252;-0,037429749;-0,034908248;-0,037517971;0,032960628
34;44021037;And as he was about to be brought into the barracks , Paul said to the military tribune , “ Is it permitted for me to say something to you ? ” And he said , “ Do you know Greek ?;-0,05942054;-0,034688256;-0,045985399;-0,032488756;0,019130982;0,086486468;0,04962197
20;44019015b;But the evil spirit answered and said to them , “ Jesus I know , and Paul I am acquainted with , but who are you ? ”;-0,07705786;-0,035281616;0,029127185;-0,010558762;0,040250142;0,026464879;0,010696574
15;41001034;And he healed many ˻ who were sick ˼ with various diseases and expelled many demons . And he did not permit the demons to speak , because they knew him .;-0,084771288;-0,035902543;0,039844411;0,017964807;0,045715439;-0,009408368;0,015556884
12;41001024;saying , “ ˻ Leave us alone ˼ , Jesus the Nazarene ! Have you come to destroy us ? I know who you are — the Holy One of God ! ”;-0,088819157;-0,037500106;0,020965391;-0,005385131;0,052303311;0,005923814;0,015892031
36;42012056;Hypocrites ! You know how to evaluate the appearance of the earth and the sky , but how is it you do not know how to evaluate this present time ?;0,002046114;-0,040423493;-0,015035477;0,047669608;-0,057295138;0,143450088;-0,03081289
23;43010004;Whenever he sends out all his own , he goes before them , and the sheep follow him because they know his voice .;-0,024125525;-0,040439542;0,09330309;-0,021064486;0,047386602;0,015459064;0,027169442
9;43008027;( They did not know that he was speaking to them about the Father . );0,183181798;-0,04121254;-0,042162884;0,037405157;-0,019865836;-0,026756437;0,032608016
19;44019015;But the evil spirit answered and said to them , “ Jesus I know , and Paul I am acquainted with , but who are you ? ”;-0,063438958;-0,043045787;0,065159456;-0,024041515;0,037094419;0,000881082;-0,006061607
24;43004032;But he said to them , “ I have food to eat that you do not know about . ”;-0,086332646;-0,043949682;-0,00466568;-0,033403187;-0,033144516;-0,032337531;-0,026499304
16;43001048;Nathanael said to him , “ From where do you know me ? ” Jesus answered and said to him , “ Before Philip called you , when you were under the fig tree , I saw you . ”;-0,053721552;-0,052084459;0,078193;-0,011318143;0,022173481;0,01160905;0,003970186
17;41014071;And he began to curse and to swear with an oath , “ I do not know this man whom you are talking about ! ”;-0,076115492;-0,052574786;0,083839286;-0,052829552;-0,028825718;-0,037965638;0,012334552
22;43014004;And you know the way where I am going . ”;-0,10089833;-0,054550933;-0,000489716;-0,005471099;0,043716254;0,008121788;-0,034977606
35;46014016;For otherwise , if you praise in your spirit , how will the one who fills the place of the outsider say the “ amen ” at your thanksgiving , because he does not know what you are saying ?;0,055981016;-0,055027678;-0,030913928;-0,041574472;-0,050241184;-0,050241368;0,011541755
53;40013051;“ Have you understood all these things ? ” They said to him , “ Yes . ”;0,196450396;-0,055311661;-0,029690489;-0,051790307;0,049380134;0,022480889;-0,01144952
26;41012024;Jesus said to them , “ Are you not deceived because of this , because you do not know the scriptures or the power of God ?;-0,037660544;-0,059154348;-0,032164182;-0,053609409;-0,044762247;-0,058565992;-0,009380007
18;43007029;I know him , because I am from him and he sent me . ”;-0,066113059;-0,060161041;0,077178713;-0,013425996;0,035206746;-0,003359723;-0,020873227
10;41009032;But they did not understand the statement , and they were afraid to ask him .;0,17442649;-0,065801884;-0,04797761;-0,051717047;-0,009023403;-0,032135158;0,020971069
29;47001013;For we are not writing anything else to you except what you can read or also understand . But I hope that you will understand ˻ completely ˼ ,;0,152398934;-0,072955434;-0,027031353;-0,047901679;0,016856069;-0,01375897;-0,049661469
37;42012056b;Hypocrites ! You know how to evaluate the appearance of the earth and the sky , but how is it you do not know how to evaluate this present time ?;0,041689436;-0,073360651;-0,030542888;0,019808509;-0,157134672;0,123247236;-0,041817995
31;44008030;So Philip ran up to itand heard him reading aloud Isaiah the prophet and said , “ So then , do you understand what you are reading ? ”;0,149129322;-0,076409201;-0,042239232;-0,023525726;0,043507497;0,004733432;0,015487311
30;47001014;just as you have also understood us in part , that we are your reason for boasting , just as you are also ours in the day of our Lord Jesus .;0,127123099;-0,085498217;-0,00850882;-0,026165795;0,052546469;0,002587129;-0,078940451
32;41014068;But he denied it , saying , “ I neither know nor understand what you mean ! ” And he went out into the gateway , and a rooster crowed .;0,134458767;-0,086703421;-0,058137105;-0,072372662;-0,036666636;-0,020680772;0,030794376
