Verse	N2	N3	N4	N5	N6	N7	N8	Named8	N9	N10	Named10	Text
42001022b	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	And when he came out he was not able to speak to them, and they realized that he had seen a vision in the temple. And he kept making signs to them, and remained unable to speak.
40013051	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	"""Have you understood all these things?"" They said to him, ""Yes."""
40017013	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	Then the disciples understood that he had spoken to them about John the Baptist.
40016012	0	0	1	0	3	1	0	KNOW	3	1	UNDERSTAND	Then they understood that he did not say to beware of the leaven of bread, but of the teaching of the Pharisees and Sadducees.
40002010	0	0	1	0	2	2	2	SEE	2	2	SEE	Now when they saw the star, they rejoiced with very great joy.
41007002	0	0	1	0	2	2	2	SEE	2	2	SEE	And they saw that some of his disciples were eating their bread with unclean — that is, unwashed — hands.
41011013	0	0	1	0	2	2	2	SEE	2	2	SEE	And when he saw from a distance a fig tree that had leaves, he went to see if perhaps he would find anything on it. And when he came up to it he found nothing except leaves, because it was not the season for figs.
41008023	0	0	1	0	2	2	2	SEE	2	2	SEE	"And he took hold of the blind man’s hand and led him outside the village, and after spitting in his eyes, he placed his hands on him and asked him, ""Do you see anything?"""
41013026	0	0	1	0	2	2	2	SEE	2	2	SEE	And then they will see the Son of Man arriving in the clouds with great power and glory.
43005006	0	0	1	0	2	2	2	SEE	2	2	SEE	"Jesus, when he saw this one lying there and knew that he had been sick a long time already, said to him, ""Do you want to become well?"""
43004019	0	0	1	0	2	2	2	SEE	2	2	SEE	"The woman said to him, ""Sir, I see that you are a prophet."
44012003	0	0	1	0	2	2	2	SEE	2	2	SEE	And when he saw that it was pleasing to the Jews, he proceeded to arrest Peter also. ( ˻ Now this was during the feast ˼ of Unleavened Bread. )
43019008	0	0	3	3	1	0	7	HEAR	7	7	HEAR	So when Pilate heard this statement, he was even more afraid,
42015025	0	0	3	3	1	0	7	HEAR	7	7	HEAR	"""Now his older son was in the field, and when he came and approached the house, he heard music and dancing."
40013019	0	0	3	3	1	0	7	HEAR	7	7	HEAR	When anyone hears the word about the kingdom and does not understand it, the evil one comes and snatches away what was sown in his heart. This is what was sown on the side of the path.
40013023	0	0	3	3	1	0	7	HEAR	7	7	HEAR	"But what was sown on the good soil — this is the one who hears the word and understands it, who indeed bears fruit and produces, this one a hundred times as much, and this one sixty, and this one thirty."""
41001027	0	0	3	3	1	0	3	OBEY	8	8	OBEY	"And they were all amazed, so that they began to discuss with one another, saying, ""What is this? A new teaching with authority! He even commands the unclean spirits and they obey him."""
51003020	0	0	3	3	1	0	3	OBEY	8	8	OBEY	Children, obey your parents in everything, for this is pleasing in the Lord.
60003006	0	0	3	3	1	0	3	OBEY	8	8	OBEY	like Sarah obeyed Abraham, calling him lord, whose children you have become when you do good and are not frightened with respect to any terror.
42008025	0	0	3	3	1	0	3	OBEY	8	8	OBEY	"And he said to them, ""Where is your faith?"" But they were afraid and were astonished, saying to one another, ""Who then is this, that he commands even the winds and the water and they obey him?"""
43004050	1	1	0	4	4	4	4	BELIEVE	4	9	BELIEVE	"Jesus said to him, ""Go, your son will live."" The man believed the word that Jesus spoke to him, and he departed."
43011027	1	1	0	4	4	4	4	BELIEVE	4	9	BELIEVE	"She said to him, ""Yes, Lord, I have believed that you are the Christ, the Son of God, who comes into the world."""
43020008	1	1	0	4	4	4	4	BELIEVE	4	9	BELIEVE	So then the other disciple who had come to the tomb first also went in, and he saw and believed.
44015011	1	1	0	4	4	4	4	BELIEVE	4	9	BELIEVE	"But we believe we will be saved through the grace of the Lord Jesus in ˻ the same ˼ way those also are."""
44009026	1	1	0	4	4	4	4	BELIEVE	4	9	BELIEVE	And when he arrived in Jerusalem, he was attempting to associate with the disciples, and they were all afraid of him, because they did not believe that he was a disciple.
43011013	1	1	0	1	0	6	6	THINK	6	6	THINK	(Now Jesus had been speaking about his death, but they thought that he was speaking about ˻ real sleep ˼.)
40020010	1	1	0	1	0	6	6	THINK	6	6	THINK	And when the first came, they thought that they would receive more, and they also received a denarius apiece.
43020015	1	1	0	1	0	6	6	THINK	6	6	THINK	"Jesus said to her, ""Woman, why are you weeping? Who are you looking for?"" She thought that it was the gardener, and said to him, ""Sir, if you have carried him away, tell me where you have put him, and I will take him."""
